מספר בדיקה,TC_02,תאריך,04/10/2023,
3,"לחץ על לחצן ""הדגשת קישורים""",הקישורים באתר צריכים להיות מובלטים וממוקמים מתחת לקישורים,הקישורים באתר מובלטים אבל בדף הבית בסרגל תפריט ההבלטה של הקישורים לא ממוקמת מתחת לקישורים ,נכשל
,,,,
שם הבדיקה,בדיקה של נגישות הדגשת קישורים שהקישורים בדף הבית עובדים ,סוג הבדיקה,ממשק המשתמש ,
צעדים,תיאור הצעדים,תוצאה צפויה,תוצאה בפועל,Pass/Failed
1,הכנס לדפדפן ועבור לאתר https://www.dominos.co.il/,,,
2,"לחץ על לחצן ""כפתור נגישות""",,,
3,"לחץ על לחצן ""הדגשת קישורים""",,,
4,סגור את תפריט הנגישות ,,,
5,לחץ על הקישורים בסרגל תפריט בדף הבית ,קישורים עובדים ונלחצים,קישורים לא נלחצים ,נכשל
,,,,
שם הבדיקה,"בדיקה של נגישות הדגשת קישורים שהקישורים בדף ""אירועים וחברות"" עובדים ",סוג הבדיקה,ממשק המשתמש ,
צעדים,תיאור הצעדים,תוצאה צפויה,תוצאה בפועל,Pass/Failed
1,הכנס לדפדפן ועבור לאתר https://www.dominos.co.il/,,,
2,"לחץ על לחצן ""כפתור נגישות""",,,
3,"לחץ על לחצן ""הדגשת קישורים""",,,
4,סגור את תפריט הנגישות ,,,
5,"לחץ על הקישור ""אירועים וחברות"" בתפריט ",,,
6,לחץ על הקישורים בסרגל תפריט,קישורים עובדים ונלחצים,קישורים לא נלחצים,נכשל
,,,,
שם הבדיקה,"בדיקה של נגישות הדגשת קישורים שהקישורים בדף ""הזמנות"" עובדים ",סוג הבדיקה,ממשק המשתמש ,
צעדים,תיאור הצעדים,תוצאה צפויה,תוצאה בפועל,Pass/Failed
1,הכנס לדפדפן ועבור לאתר https://www.dominos.co.il/,,,
2,"לחץ על לחצן ""כפתור נגישות""",,,
3,"לחץ על לחצן ""הדגשת קישורים""",,,
4,סגור את תפריט הנגישות ,,,
5,"לחץ על הקישור ""תפריט"" בדף הבית ",,,
6,לחץ על הקישורים והלחצנים בדף,קישורים עובדים ונלחצים,קישורים לא נלחצים,נכשל
,,,,
שם הבדיקה,"בדיקה של נגישות הדגשת קישורים שהקישורים בדף ""הזמנות-משלוח"" עובדים ",סוג הבדיקה,ממשק המשתמש ,
צעדים,תיאור הצעדים,תוצאה צפויה,תוצאה בפועל,Pass/Failed
1,הכנס לדפדפן ועבור לאתר https://www.dominos.co.il/,,,
2,"לחץ על לחצן ""כפתור נגישות""",,,
3,"לחץ על לחצן ""הדגשת קישורים""",,,
4,סגור את תפריט הנגישות ,,,
5,"לחץ על הקישור ""תפריט"" בדף הבית ",,,
6,"לחץ על לחצן ""הוספת כתובת חדשה""",,,
7,לחץ על הקישורים והלחצנים ותמלא את השדות הדרושים ,לחצנים וקישורים עובדים ונלחצים ואפשר למלא את השדות הדרושים,לחצנים וקישורים לא נלחצים ואי אפשר למלא את השדות הדרושים,נכשל
,,,,
שם הבדיקה,"בדיקה של נגישות הדגשת קישורים שהקישורים בדף ""סניפים"" עובדים ",סוג הבדיקה,ממשק המשתמש ,
צעדים,תיאור הצעדים,תוצאה צפויה,תוצאה בפועל,Pass/Failed
1,הכנס לדפדפן ועבור לאתר https://www.dominos.co.il/,,,
2,"לחץ על לחצן ""כפתור נגישות""",,,
3,"לחץ על לחצן ""הדגשת קישורים""",,,
4,סגור את תפריט הנגישות ,,,
5,"לחץ על הקישור ""סניפים"" בדף הבית ",,,
6,לחץ על הקישורים והלחצנים  ,לחצנים וקישורים עובדים ונלחצים ,לחצנים וקישורים לא נלחצים ,נכשל
,,,,
שם הבדיקה,"בדיקה של נגישות הדגשת קישורים שהקישורים בדף ""עזרה"" עובדים ",סוג הבדיקה,ממשק המשתמש ,
צעדים,תיאור הצעדים,תוצאה צפויה,תוצאה בפועל,Pass/Failed
1,הכנס לדפדפן ועבור לאתר https://www.dominos.co.il/,,,
2,"לחץ על לחצן ""כפתור נגישות""",,,
3,"לחץ על לחצן ""הדגשת קישורים""",,,
4,סגור את תפריט הנגישות ,,,
5,"לחץ על הקישור ""עזרה"" בדף הבית ",,,
6,לחץ על הקישורים והלחצנים  ,לחצנים וקישורים עובדים ונלחצים ,שניי הקישורים הראשונים לא נלחצים,נכשל
,,,,
שם הבדיקה,"בדיקה אם בנגישות ה""הדגשת כותרות"" תקין ",סוג הבדיקה,נגישות,
צעדים,תיאור הצעדים,תוצאה צפויה,תוצאה בפועל,Pass/Failed
1,הכנס לדפדפן ועבור לאתר https://www.dominos.co.il/,,,
2,"לחץ על לחצן ""כפתור נגישות""",,,
